first_name,middle_name,last_name,birth_date,program,year_graduated,sex
John,Michael,Smith,1995-03-15,BS in Information Technology,2020,male
Maria,Elena,Garcia,1996-07-22,BS in Computer Science,2020,female
James,,Johnson,1997-11-08,BS in Information Systems,2021,male
Sarah,Ann,Davis,1998-02-14,BS in Electronics Engineering,2021,female
Robert,Lee,Brown,1999-05-30,BS in Civil Engineering,2022,male
Emily,Rose,Wilson,1997-09-12,BS in Psychology,2022,female
Michael,David,Taylor,1996-12-03,BS in Mathematics,2023,male
Jessica,Lynn,Anderson,1998-08-25,BS in Chemistry,2023,female
Christopher,Paul,Thomas,1999-01-17,BS in Biology,2024,male
Amanda,Grace,Jackson,1997-06-09,BS in Environmental Science,2024,female
